record_id,date,traffic_source,page_url,sessions,users,bounce_rate,session_duration,pages_per_session,conversions,goal_completions
12425,2026-03-21,Direct,/product/running-shoes,5,4,0.2828,240.0,2.74,0.0,0
13624,2026-04-14,Direct,/blog/summer-sale-guide,8,7,0.4845,214.0,2.58,0.0,0
14018,2026-04-22,Social,/checkout,3,3,0.4706,181.6,3.04,0.0,0
16983,2026-06-21,Paid Search,/about-us,10,9,0.5258,95.3,2.17,1.0,1
10903,2026-02-19,Organic Search,/checkout,5,5,0.1617,178.2,3.31,1.0,1
14777,2026-05-07,Direct,/checkout,3,3,0.2636,240.8,3.36,0.0,0
17546,2026-07-02,Social,/product/backpacks,6,6,0.633,163.8,1.24,0.0,0
18369,2026-07-19,Organic Search,/pricing,16,15,0.4012,211.0,2.76,0.0,1
12816,2026-03-29,Social,/blog/how-to-choose-running-shoes,4,3,0.7594,145.8,1.0,0.0,0
16854,2026-06-18,Social,/contact,10,9,0.846,59.1,1.0,0.0,0
14062,2026-04-23,Social,/blog/how-to-choose-running-shoes,7,6,0.5952,188.4,2.2,0.0,0
13140,2026-04-05,Organic Search,/checkout,8,8,0.2287,214.7,3.69,2.0,3
10314,2026-02-07,Paid Search,/product/backpacks,6,5,0.5322,142.7,2.04,0.0,0
12064,2026-03-14,Referral,/checkout,1,1,0.1364,247.9,3.55,0.0,0
15254,2026-05-17,Social,/home,19,17,0.5346,160.5,2.5,0.0,0
18449,2026-07-20,Social,/checkout,5,5,0.419,175.2,2.76,1.0,1
12043,2026-03-14,Organic Search,/contact,8,8,0.5893,127.5,2.0,0.0,0
10332,2026-02-07,Social,/product/running-shoes,3,3,0.5303,115.1,2.23,0.0,0
12416,2026-03-21,Social,/product/winter-jackets,12,11,0.6115,116.8,1.39,1.0,1
13525,2026-04-12,Direct,/about-us,1,1,0.367,170.9,2.38,0.0,0
16777,2026-06-17,Organic Search,/checkout,7,6,0.3375,207.9,2.37,0.0,0
18791,2026-07-27,Social,/product/winter-jackets,16,15,0.6679,162.1,1.66,0.0,0
16105,2026-06-03,Social,/product/backpacks,14,12,0.6387,85.3,1.68,0.0,0
10310,2026-02-07,Organic Search,/checkout,6,5,0.2981,210.6,3.31,1.0,2
16660,2026-06-14,Direct,/product/winter-jackets,6,5,0.3195,,2.87,0.0,0
12160,2026-03-16,Referral,/blog/summer-sale-guide,13,11,0.6119,194.1,2.18,1.0,1
15598,2026-05-24,Referral,/blog/how-to-choose-running-shoes,12,11,0.5423,302.3,1.62,0.0,0
12325,2026-03-19,Direct,/product/running-shoes,13,11,0.4099,252.0,2.9,0.0,0
17253,2026-06-26,Social,/checkout,6,6,0.406,143.2,2.23,2.0,3
13980,2026-04-22,Organic Search,/product/running-shoes,30,26,0.427,214.5,1.99,1.0,1
14812,2026-05-08,Social,/blog/summer-sale-guide,8,7,0.7785,105.6,1.37,0.0,0
18533,2026-07-22,Referral,/product/backpacks,6,5,0.4036,187.7,2.92,0.0,1
13012,2026-04-02,Social,/home,19,16,0.4936,121.6,1.98,0.0,1
18237,2026-07-16,Referral,/blog/summer-sale-guide,9,8,0.5713,246.8,1.53,0.0,1
14821,2026-05-08,Direct,/blog/how-to-choose-running-shoes,11,10,0.4986,271.0,3.22,0.0,0
14212,2026-04-26,Social,/blog/how-to-choose-running-shoes,8,7,0.7565,157.3,1.0,0.0,0
10021,2026-02-01,Referral,/home,7,6,0.4067,211.4,2.2,0.0,0
17014,2026-06-21,Direct,/contact,6,5,0.5772,152.3,1.53,0.0,0
11191,2026-02-24,Direct,/checkout,5,4,0.2223,273.4,3.47,0.0,1
18327,07-18-2026,Paid Search,/blog/summer-sale-guide,8,8,0.7373,236.7,1.27,0.0,1
15936,2026-05-31,Paid Search,/product/backpacks,8,8,0.4505,206.9,2.15,1.0,1
18002,2026-07-11,Direct,/home,24,21,0.3069,214.6,2.48,1.0,1
18873,2026-07-29,Paid Search,/blog/how-to-choose-running-shoes,11,10,0.5681,229.8,2.7,0.0,0
18898,2026-07-29,Social,/checkout,6,5,0.4537,117.1,2.55,1.0,1
10282,2026-02-06,Social,/product/running-shoes,19,16,0.6068,54.4,1.9,0.0,1
15283,2026-05-18,Organic Search,/checkout,6,5,0.2585,166.6,3.77,2.0,2
18220,2026-07-16,Organic Search,/pricing,16,13,0.362,163.1,2.54,0.0,0
11374,2026-02-28,Social,/product/winter-jackets,9,8,0.5081,108.6,1.51,0.0,0
11104,2026-02-23,Paid Search,/product/winter-jackets,21,20,0.45,167.8,2.93,0.0,0
18593,2026-07-23,Social,/blog/how-to-choose-running-shoes,13,12,0.7567,128.7,1.0,0.0,0
18272,2026-07-17,Paid Search,/home,19,18,0.3771,151.6,2.73,2.0,3
12254,2026-03-18,Paid Search,/checkout,3,3,0.2726,174.8,3.6,0.0,1
12231,2026-03-17,Direct,/about-us,7,6,0.481,212.4,2.39,0.0,0
16130,2026-06-04,Organic Search,/pricing,18,15,0.3044,212.1,3.67,1.0,1
15379,2026-05-20,Organic Search,/blog/summer-sale-guide,28,26,0.5168,180.2,1.56,2.0,2
10434,2026-02-09,Social,/about-us,7,6,0.7124,66.0,1.09,0.0,0
10525,2026-02-11,Referral,/contact,4,4,0.5441,186.4,1.88,0.0,0
14395,2026-04-30,Paid Search,/contact,6,6,0.6346,124.9,1.0,0.0,0
17264,2026-06-27,Organic Search,/home,44,38,0.3493,193.8,2.04,1.0,1
11396,2026-03-01,Organic Search,/blog/how-to-choose-running-shoes,26,21,0.5708,253.8,1.87,0.0,0
12887,2026-03-31,Organic Search,/blog/summer-sale-guide,14,13,0.6053,247.0,3.26,1.0,2
11251,2026-02-26,Organic Search,/checkout,10,9,0.2299,238.5,3.68,0.0,1
16117,2026-06-03,Direct,/blog/summer-sale-guide,4,3,0.5425,266.5,2.84,0.0,0
11737,2026-03-07,Direct,/pricing,3,3,0.3107,275.4,3.32,1.0,1
16748,2026-06-16,Social,/home,18,16,0.5717,108.9,2.6,0.0,0
11344,2026-02-28,Organic Search,/product/winter-jackets,20,19,0.4702,186.6,2.07,3.0,3
14760,2026-05-07,Social,/product/winter-jackets,9,8,0.5736,130.2,1.81,1.0,1
13770,2026-04-17,Direct,/product/running-shoes,20,18,0.3798,247.4,3.91,1.0,2
12463,2026-03-22,Referral,/checkout,2,2,0.1525,299.6,2.97,0.0,0
14545,2026-05-03,Paid Search,/contact,2,2,0.5869,72.5,2.11,0.0,0
10623,2026-02-13,Referral,/blog/summer-sale-guide,4,4,0.5235,250.0,2.11,0.0,0
14733,2026-05-07,Organic Search,/blog/summer-sale-guide,22,19,0.5213,177.2,2.1,0.0,0
15872,2026-05-29,Direct,/pricing,10,9,0.3008,214.9,2.98,0.0,0
15019,2026-05-12,Direct,/blog/how-to-choose-running-shoes,13,12,0.4904,270.2,2.42,0.0,0
